Features
eeg_abspow
eeg_abspow_c7min_norm
eeg_abspow_p2min_norm
eeg_alpha
eeg_alpha_c7min_norm
eeg_alpha_p2min_norm
eeg_at
eeg_at_c7min_norm
eeg_at_p2min_norm
eeg_beta
eeg_beta_c7min_norm
eeg_beta_p2min_norm
eeg_db
eeg_db_c7min_norm
eeg_db_p2min_norm
eeg_ds
eeg_ds_c7min_norm
eeg_ds_p2min_norm
eeg_dt
eeg_dt_c7min_norm
eeg_dt_p2min_norm
eeg_fdelta
eeg_fdelta_c7min_norm
eeg_fdelta_p2min_norm
eeg_hcomp
eeg_hcomp_c7min_norm
eeg_hcomp_p2min_norm
eeg_higuchi
eeg_higuchi_c7min_norm
eeg_higuchi_p2min_norm
eeg_hmob
eeg_hmob_c7min_norm
eeg_hmob_p2min_norm
eeg_iqr
eeg_iqr_c7min_norm
eeg_iqr_p2min_norm
eeg_kurt
eeg_kurt_c7min_norm
eeg_kurt_p2min_norm
eeg_nzc
eeg_nzc_c7min_norm
eeg_nzc_p2min_norm
eeg_perm
eeg_perm_c7min_norm
eeg_perm_p2min_norm
eeg_petrosian
eeg_petrosian_c7min_norm
eeg_petrosian_p2min_norm
eeg_sdelta
eeg_sdelta_c7min_norm
eeg_sdelta_p2min_norm
eeg_sigma
eeg_sigma_c7min_norm
eeg_sigma_p2min_norm
eeg_skew
eeg_skew_c7min_norm
eeg_skew_p2min_norm
eeg_std
eeg_std_c7min_norm
eeg_std_p2min_norm
eeg_theta
eeg_theta_c7min_norm
eeg_theta_p2min_norm
time_hour
time_norm
eog_abspow
eog_abspow_c7min_norm
eog_abspow_p2min_norm
eog_alpha
eog_alpha_c7min_norm
eog_alpha_p2min_norm
eog_beta
eog_beta_c7min_norm
eog_beta_p2min_norm
eog_fdelta
eog_fdelta_c7min_norm
eog_fdelta_p2min_norm
eog_hcomp
eog_hcomp_c7min_norm
eog_hcomp_p2min_norm
eog_higuchi
eog_higuchi_c7min_norm
eog_higuchi_p2min_norm
eog_hmob
eog_hmob_c7min_norm
eog_hmob_p2min_norm
eog_iqr
eog_iqr_c7min_norm
eog_iqr_p2min_norm
eog_kurt
eog_kurt_c7min_norm
eog_kurt_p2min_norm
eog_nzc
eog_nzc_c7min_norm
eog_nzc_p2min_norm
eog_perm
eog_perm_c7min_norm
eog_perm_p2min_norm
eog_petrosian
eog_petrosian_c7min_norm
eog_petrosian_p2min_norm
eog_sdelta
eog_sdelta_c7min_norm
eog_sdelta_p2min_norm
eog_sigma
eog_sigma_c7min_norm
eog_sigma_p2min_norm
eog_skew
eog_skew_c7min_norm
eog_skew_p2min_norm
eog_std
eog_std_c7min_norm
eog_std_p2min_norm
eog_theta
eog_theta_c7min_norm
eog_theta_p2min_norm
emg_abspow
emg_abspow_c7min_norm
emg_abspow_p2min_norm
emg_hcomp
emg_hcomp_c7min_norm
emg_hcomp_p2min_norm
emg_higuchi
emg_higuchi_c7min_norm
emg_higuchi_p2min_norm
emg_hmob
emg_hmob_c7min_norm
emg_hmob_p2min_norm
emg_iqr
emg_iqr_c7min_norm
emg_iqr_p2min_norm
emg_kurt
emg_kurt_c7min_norm
emg_kurt_p2min_norm
emg_nzc
emg_nzc_c7min_norm
emg_nzc_p2min_norm
emg_perm
emg_perm_c7min_norm
emg_perm_p2min_norm
emg_petrosian
emg_petrosian_c7min_norm
emg_petrosian_p2min_norm
emg_skew
emg_skew_c7min_norm
emg_skew_p2min_norm
emg_std
emg_std_c7min_norm
emg_std_p2min_norm
age
male
